ID Cor,Nome,Código
62922,"(*) Manifesto","#000000"
62923,"Manifesto","#000000"
62925,"Rosa","#FF00CC"
62926,"Vermelha","#FF0000"
63877,"VERDE","#00CC33"
66014,"branco","#FFFFFF"
66016,"Azul","#3366FF"
66018,"CINZA Tranparente","#BBBBBB"
66019,"Laranja","#FF6600"
66020,"Verde escuro","#336600"
66021,"Verde Claro","#00FF66"
66022,"Vermelho","#CC0000"
66023,"Laranja NEON","#FF6600"
66025,"Mostarda","#CCCC00"
66026,"Vinho","#660000"
66027,"Lilaz Transparente","#B187FF"
72262,"azul bebe","#33FFFF"
72263,"roxo","#9900FF"
